-4,-4,-3,-2,-1,1,3,5,7,9,11,13,15,17,19
-4,-5,-5,-4,-3,-2,0,1,3,5,7,9,11,13,15
-1,-6,-6,-6,-5,-4,-3,-2,0,1,3,5,7,8,10
6,-2,-7,-8,-8,-7,-6,-5,-3,-2,0,1,3,5,6
13,5,-3,-7,-9,-9,-9,-8,-6,-5,-3,-2,0,1,3
18,13,4,-3,-8,-10,-11,-10,-9,-8,-6,-5,-3,-2,-1
20,18,11,3,-3,-7,-10,-11,-11,-11,-9,-8,-7,-5,-3
22,21,17,11,4,-2,-6,-9,-11,-11,-11,-10,-8,-5,-1
23,22,21,17,12,7,2,-2,-5,-6,-6,-4,-1,3,7
23,23,23,21,18,15,11,8,5,4,5,6,9,12,14
21,22,23,23,22,21,19,18,16,15,15,16,17,19,20
19,20,22,23,23,23,23,23,23,23,23,23,23,23,24
16,18,19,21,22,23,24,25,25,25,25,25,25,24,24
14,15,17,18,19,21,22,22,23,23,23,23,23,22,22
11,12,14,15,16,17,18,19,19,19,19,19,19,19,19
